iter	Passed	Remaining
0	145	145026
1	145	72750
2	146	48639
3	146	36594
4	147	29361
5	148	24530
6	148	21089
7	149	18508
8	149	16505
9	150	14901
10	151	13582
11	151	12487
12	152	11561
13	152	10773
14	153	10084
15	154	9481
16	154	8949
17	155	8476
18	155	8047
19	156	7664
20	156	7317
21	157	7000
22	158	6716
23	158	6455
24	159	6211
25	159	5986
26	160	5774
27	160	5577
28	161	5393
29	161	5223
30	161	5063
31	162	4915
32	162	4775
33	163	4644
34	163	4520
35	164	4406
36	165	4295
37	165	4191
38	166	4093
39	166	4000
40	167	3911
41	167	3831
42	168	3752
43	169	3675
44	169	3602
45	170	3531
46	170	3463
47	171	3400
48	171	3337
49	172	3277
50	173	3220
51	173	3164
52	174	3111
53	174	3059
54	175	3010
55	175	2962
56	176	2916
57	176	2873
58	177	2830
59	178	2788
60	178	2749
61	179	2710
62	179	2672
63	180	2636
64	180	2601
65	181	2567
66	181	2533
67	182	2497
68	182	2466
69	183	2435
70	184	2408
71	184	2379
72	185	2350
73	185	2324
74	186	2297
75	186	2270
76	187	2245
77	187	2220
78	188	2197
79	189	2174
80	189	2151
81	190	2129
82	190	2107
83	191	2085
84	191	2063
85	192	2042
86	192	2020
87	193	2000
88	193	1982
89	194	1962
90	194	1944
91	195	1926
92	195	1909
93	196	1892
94	196	1875
95	197	1860
96	198	1844
97	198	1828
98	199	1813
99	199	1798
100	200	1783
101	200	1766
102	201	1752
103	201	1738
104	202	1725
105	203	1712
106	203	1698
107	204	1685
108	204	1672
109	205	1660
110	205	1648
111	206	1636
112	206	1624
113	207	1612
114	208	1601
115	208	1588
116	209	1577
117	209	1567
118	210	1555
119	210	1544
120	211	1533
121	211	1524
122	212	1512
123	212	1503
124	213	1493
125	213	1483
126	214	1474
127	214	1464
128	215	1455
129	216	1446
130	216	1437
131	217	1428
132	217	1420
133	218	1411
134	218	1402
135	219	1394
136	220	1386
137	220	1377
138	221	1369
139	221	1361
140	222	1353
141	222	1346
142	223	1338
143	223	1330
144	224	1323
145	224	1316
146	225	1308
147	226	1301
148	226	1295
149	227	1289
150	228	1282
151	228	1276
152	229	1269
153	229	1262
154	230	1256
155	230	1249
156	231	1243
157	232	1236
158	232	1230
159	233	1224
160	233	1218
161	234	1212
162	234	1206
163	235	1200
164	236	1194
165	236	1188
166	237	1182
167	237	1176
168	238	1171
169	238	1165
170	239	1160
171	239	1155
172	240	1149
173	240	1144
174	241	1138
175	242	1133
176	242	1128
177	243	1124
178	244	1119
179	244	1114
180	245	1108
181	245	1103
182	245	1098
183	246	1093
184	247	1088
185	247	1083
186	248	1078
187	248	1074
188	249	1069
189	249	1065
190	250	1060
191	250	1056
192	251	1051
193	252	1047
194	252	1043
195	253	1038
196	253	1034
197	254	1030
198	254	1026
199	255	1022
200	256	1018
201	256	1014
202	257	1010
203	257	1006
204	258	1001
205	258	997
206	259	993
207	259	989
208	260	984
209	260	980
210	261	976
211	261	972
212	262	968
213	262	963
214	262	959
215	263	955
216	263	951
217	264	947
218	264	944
219	265	940
220	265	936
221	266	932
222	266	928
223	266	924
224	267	921
225	267	917
226	268	913
227	268	910
228	269	906
229	269	903
230	270	899
231	270	896
232	271	892
233	271	889
234	272	885
235	272	882
236	273	879
237	273	876
238	274	872
239	274	869
240	274	865
241	275	862
242	275	859
243	276	856
244	276	852
245	277	849
246	277	846
247	278	843
248	278	840
249	278	836
250	279	833
251	279	830
252	280	827
253	280	824
254	281	821
255	281	818
256	282	815
257	282	812
258	283	809
259	283	806
260	283	803
261	284	800
262	284	798
263	285	795
264	285	792
265	286	789
266	286	786
267	287	783
268	287	781
269	288	779
270	288	776
271	289	773
272	289	770
273	289	768
274	290	765
275	290	762
276	291	760
277	291	757
278	292	755
279	292	752
280	293	749
281	293	747
282	294	744
283	294	742
284	295	740
285	295	737
286	295	735
287	296	732
288	296	730
289	297	727
290	297	725
291	298	722
292	298	720
293	299	718
294	299	715
295	299	713
296	300	710
297	300	708
298	301	706
299	301	703
300	302	701
301	302	699
302	303	697
303	303	694
304	303	692
305	304	690
306	304	688
307	305	685
308	305	683
309	306	681
310	306	679
311	307	677
312	307	674
313	307	672
314	308	670
315	308	668
316	309	666
317	309	664
318	310	662
319	310	660
320	311	657
321	311	655
322	311	653
323	312	651
324	312	649
325	313	647
326	313	645
327	314	643
328	314	641
329	315	639
330	315	637
331	315	635
332	316	633
333	316	631
334	317	630
335	317	628
336	318	626
337	318	624
338	319	622
339	319	620
340	320	618
341	320	617
342	321	615
343	321	613
344	322	611
