iter	Passed	Remaining
0	137	137026
1	137	68748
2	138	45989
3	138	34589
4	139	27766
5	140	23215
6	140	19948
7	141	17514
8	141	15618
9	142	14096
10	142	12855
11	143	11820
12	144	10944
13	144	10197
14	145	9547
15	145	8971
16	146	8464
17	146	8017
18	147	7616
19	148	7264
20	148	6938
21	149	6642
22	149	6369
23	150	6125
24	151	5898
25	151	5686
26	152	5489
27	152	5307
28	153	5137
29	153	4976
30	154	4827
31	154	4687
32	155	4559
33	156	4436
34	156	4320
35	157	4211
36	157	4107
37	158	4009
38	158	3916
39	159	3827
40	160	3743
41	160	3663
42	161	3588
43	161	3516
44	162	3451
45	163	3384
46	163	3319
47	164	3257
48	164	3198
49	165	3141
50	165	3086
51	166	3033
52	166	2983
53	167	2933
54	168	2886
55	168	2841
56	169	2796
57	169	2756
58	170	2715
59	170	2675
60	171	2636
61	171	2600
62	172	2564
63	173	2530
64	173	2496
65	174	2463
66	174	2431
67	175	2400
68	176	2375
69	176	2346
70	177	2317
71	177	2289
72	178	2262
73	178	2237
74	179	2212
75	179	2187
76	180	2163
77	181	2140
78	181	2117
79	182	2095
80	182	2073
81	183	2052
82	183	2028
83	184	2008
84	184	1988
85	185	1969
86	185	1949
87	186	1931
88	186	1913
89	187	1895
90	188	1878
91	188	1861
92	189	1845
93	189	1828
94	190	1812
95	190	1798
96	191	1784
97	192	1769
98	192	1754
99	193	1740
100	193	1726
101	194	1713
102	195	1699
103	195	1686
104	196	1673
105	196	1660
106	197	1648
107	198	1635
108	198	1623
109	199	1611
110	199	1598
111	200	1586
112	200	1575
113	201	1564
114	201	1552
115	202	1542
116	202	1530
117	203	1519
118	203	1509
119	204	1499
120	204	1489
121	205	1478
122	206	1469
123	206	1459
124	207	1449
125	207	1441
126	208	1431
127	208	1423
128	209	1414
129	210	1405
130	210	1397
131	211	1388
132	211	1380
133	212	1371
134	212	1363
135	213	1355
136	213	1347
137	214	1339
138	215	1331
139	215	1324
140	216	1316
141	216	1307
142	216	1299
143	217	1292
144	217	1285
145	218	1278
146	219	1271
147	219	1264
148	220	1257
149	221	1253
150	221	1247
151	222	1241
152	223	1234
153	223	1227
154	224	1221
155	224	1215
156	225	1209
157	225	1203
158	226	1197
159	226	1191
160	227	1184
161	227	1178
162	228	1172
163	228	1166
164	229	1161
165	230	1155
166	230	1149
167	231	1144
168	231	1138
169	232	1133
170	232	1128
171	233	1122
172	233	1117
173	234	1112
174	235	1107
175	235	1102
176	236	1098
177	236	1093
178	237	1088
179	237	1083
180	238	1079
181	239	1074
182	239	1069
183	240	1065
184	240	1060
185	241	1055
186	241	1051
187	242	1046
188	242	1042
189	243	1037
190	243	1033
191	244	1028
192	244	1024
193	245	1020
194	246	1015
195	246	1011
196	247	1007
197	247	1003
198	248	999
199	248	995
200	249	991
201	249	987
202	250	983
203	251	980
204	251	977
205	252	974
206	253	970
207	253	966
208	254	962
209	255	959
210	255	956
211	256	952
212	256	948
213	257	945
214	258	942
215	258	938
216	259	935
217	259	931
218	260	927
219	260	923
220	260	919
221	261	916
222	261	912
223	262	908
224	262	905
225	263	901
226	263	897
227	264	894
228	264	890
229	265	887
230	265	883
231	266	880
232	266	877
233	267	874
234	267	870
235	268	867
236	268	864
237	268	861
238	269	857
239	269	854
240	270	851
241	270	848
242	271	845
243	271	842
244	272	839
245	272	836
246	273	833
247	273	830
248	274	827
249	274	823
250	275	820
251	275	817
252	275	814
253	276	811
254	276	808
255	277	805
256	277	803
257	278	800
258	278	797
259	279	794
260	279	791
261	280	788
262	280	786
263	281	784
264	281	781
265	282	778
266	282	776
267	283	773
268	283	771
269	284	768
270	284	765
271	285	763
272	285	760
273	286	758
274	286	755
275	287	753
276	287	750
277	287	747
278	288	745
279	288	742
280	289	740
281	289	737
282	290	735
283	290	732
284	291	730
285	291	727
286	291	725
287	292	722
288	292	720
289	293	717
290	293	715
291	294	713
292	294	710
293	295	708
294	295	706
295	296	704
296	296	702
297	297	700
298	297	698
299	298	696
300	298	694
301	299	691
302	299	689
303	300	687
304	300	685
305	301	682
306	301	680
307	302	678
308	302	676
309	302	674
310	303	672
311	303	669
312	304	667
313	304	665
314	305	663
315	305	661
316	306	659
317	306	657
318	307	655
319	307	654
320	308	651
321	308	650
322	309	647
323	309	645
324	310	643
325	310	642
326	311	640
327	311	639
328	312	637
329	313	635
330	313	633
331	314	631
332	314	629
333	314	627
334	315	626
335	315	624
336	316	622
337	316	620
338	317	618
339	317	616
340	318	614
341	318	612
342	318	610
343	319	609
344	319	607
345	320	605
346	320	603
347	321	602
348	321	600
349	322	598
350	322	596
351	323	595
352	323	593
353	324	591
354	324	589
355	324	587
356	325	586
357	326	584
358	327	583
359	327	582
360	328	580
361	328	579
362	329	577
363	329	575
364	329	574
365	330	572
366	330	570
367	331	569
368	331	567
369	332	565
370	332	564
371	333	562
372	333	560
373	334	559
374	334	557
375	334	555
376	335	554
377	335	552
378	336	551
379	336	549
380	337	547
381	337	546
382	338	544
383	338	543
384	339	541
385	339	540
386	339	538
387	340	536
388	341	535
389	356	557
390	357	556
391	357	554
392	358	553
393	358	551
394	359	550
395	359	548
396	360	547
397	360	545
398	361	544
399	361	542
400	362	541
401	362	539
402	363	537
403	363	536
404	364	534
405	364	533
406	364	531
407	365	530
408	365	528
409	366	527
410	366	525
411	367	523
412	367	522
413	368	520
414	368	519
415	368	518
416	369	516
417	370	515
418	370	513
419	370	512
420	371	510
421	371	509
422	372	507
423	373	506
424	373	505
425	374	504
426	374	502
427	375	501
428	375	499
429	375	498
430	376	497
431	376	495
432	377	494
433	377	492
434	378	491
435	378	489
436	379	488
437	379	487
438	380	485
439	380	484
440	380	482
441	381	481
442	381	480
443	382	478
444	382	477
445	383	475
446	383	474
447	384	473
448	384	471
449	384	470
450	385	469
451	385	467
452	386	466
453	386	465
454	387	463
455	387	462
456	388	461
457	388	460
458	389	458
459	389	457
460	390	456
461	390	455
462	391	453
463	391	452
464	392	451
465	392	449
466	393	448
467	393	447
468	393	445
469	394	444
470	394	443
471	395	442
472	395	440
473	396	439
474	396	438
475	397	437
476	397	435
477	398	434
478	398	433
479	399	432
480	399	431
481	400	429
482	400	428
483	400	427
484	401	426
485	401	425
486	402	423
487	403	422
488	403	421
489	404	420
490	404	419
491	405	418
492	405	417
493	406	415
494	406	414
495	406	413
496	407	412
497	407	411
498	408	409
499	408	408
500	409	407
501	409	406
502	410	405
503	410	403
504	410	402
505	411	401
506	411	400
507	412	399
508	412	398
509	413	396
510	413	395
511	414	394
512	414	393
513	414	392
514	415	391
515	415	390
516	416	388
517	416	387
518	417	386
519	417	385
520	418	384
521	418	383
522	419	382
523	419	381
524	420	380
525	420	379
526	421	377
527	421	376
528	422	375
529	422	374
530	423	373
531	423	372
532	423	371
533	424	370
534	424	369
535	425	368
536	425	367
537	426	366
538	426	364
539	427	363
540	427	362
541	428	361
542	428	360
543	429	359
544	429	358
545	429	357
546	430	356
547	430	355
548	431	354
549	431	353
550	432	352
551	433	351
552	433	350
553	434	349
554	434	348
555	435	347
556	435	346
557	436	345
558	436	344
559	437	343
560	437	342
561	438	341
562	438	340
563	438	339
564	439	338
565	439	337
566	440	336
567	440	335
568	441	334
569	441	333
570	442	332
571	442	331
572	442	330
573	443	329
574	443	328
575	444	327
576	444	325
577	445	324
578	445	324
579	446	323
580	446	321
581	446	321
582	447	320
583	448	319
584	448	318
585	449	317
586	449	316
587	450	315
588	450	314
589	451	313
590	451	312
591	452	311
592	452	310
593	452	309
594	453	308
